Sector,Ticker,Item,Window,Sim_Score,Top_New_Terms,Category
Healthcare,ELMD,1A,2022-2023,0.8989,"smaller reporting, provide disclosure, company, company required, disclosure",3. Dynamic
Healthcare,ELMD,1A,2023-2024,0.8989,"1a, 1a risk, item 1a, item",3. Dynamic
Healthcare,ELMD,1A,2024-2025,1.0,,1. Boilerplate
Healthcare,ELMD,1C,2024-2025,0.9973,"result, result previous, incidents reasonably, previous, including result",1. Boilerplate
Healthcare,MOH,1A,2022-2023,0.9758,"credit, healthcare 2023, 2023 form, marketplace, ai",2. Adaptive
Healthcare,MOH,1A,2023-2024,0.984,"2024 form, healthcare 2024, 2024, changes, 31 2024",1. Boilerplate
Healthcare,MOH,1A,2024-2025,0.9829,"2025 form, healthcare 2025, 2025, new credit, rate",1. Boilerplate
Healthcare,MOH,1C,2023-2024,0.9909,"suffer, significant, information, costs exposure, reputational harm",1. Boilerplate
Healthcare,MOH,1C,2024-2025,0.9691,"primarily responsible, primarily, personnel, ciso primarily, including",2. Adaptive
Healthcare,LLY,1A,2022-2023,0.9491,"ai, technologies, exfiltration, theft exfiltration, cases",2. Adaptive
Healthcare,LLY,1A,2023-2024,0.9866,"supply, medicines, business, tariffs, leadership",1. Boilerplate
Healthcare,LLY,1A,2024-2025,0.9862,"access, risks, markets, pricing, global",1. Boilerplate
Healthcare,LLY,1C,2023-2024,0.9888,"operations use, timelines, threats responding, communications companies, frameworks including",1. Boilerplate
Healthcare,LLY,1C,2024-2025,0.9945,"security cybersecurity, problems negative, chief privacy, impact 39, privacy officer",1. Boilerplate
Healthcare,MODD,1A,2022-2023,0.9693,"stockholders, business prospects, results operations, product candidate, candidate",2. Adaptive
Healthcare,MODD,1A,2023-2024,0.9921,"security, 31 2024, 2024, breaches, 10",1. Boilerplate
Healthcare,MODD,1A,2024-2025,0.966,"pump products, products, stock, common stock, common",2. Adaptive
Healthcare,MODD,1C,2024-2025,0.9974,"environment implemented, implement policies, intend implement, implemented practices, implemented",1. Boilerplate
Automotive,F,1A,2022-2023,0.9691,"services, cybersecurity, electric, vehicle, electric vehicle",2. Adaptive
Automotive,F,1A,2023-2024,0.9912,"including, technologies, service providers, service, based positions",1. Boilerplate
Automotive,F,1A,2024-2025,0.9687,"products, electrified, ev, future, business",2. Adaptive
Automotive,F,1C,2023-2024,0.9324,"risk, officer, chief, management, program",2. Adaptive
Automotive,F,1C,2024-2025,0.9982,"believed, processes 33, potential significant, believed reasonably, reasonably potential",1. Boilerplate
Automotive,TSLA,1A,2022-2023,0.9913,"significant, data, information, address, result",1. Boilerplate
Automotive,TSLA,1A,2023-2024,0.9964,"supervised, fsd supervised, supervised features, residual, requirements",1. Boilerplate
Automotive,TSLA,1A,2024-2025,0.9802,"robotaxi, services, 2025, including, bots",1. Boilerplate
Automotive,TSLA,1C,2023-2024,0.9985,"2024, 2024 information, programs 28, 28 cybersecurity, 28",1. Boilerplate
Automotive,TSLA,1C,2024-2025,0.9978,"2025 information, standards 2025, 27 cybersecurity, 27, programs cybersecurity",1. Boilerplate
Consumer Goods,PEP,1A,2022-2023,0.99,"geopolitical, conflicts, geopolitical events, military, wars",1. Boilerplate
Consumer Goods,PEP,1A,2023-2024,0.9892,"tensions, events tensions, products, tensions wars, retaliatory",1. Boilerplate
Consumer Goods,PEP,1A,2024-2025,0.9945,"changes, tariffs, including, processing, certain",1. Boilerplate
Consumer Goods,PEP,1C,2023-2024,0.9991,"additionally require, cybersecurity, risk, information, management",1. Boilerplate
Consumer Goods,PEP,1C,2024-2025,0.9974,"cybersecurity, cybersecurity function, collaborates cybersecurity, pepsico cybersecurity, cybersecurity program",1. Boilerplate
Consumer Goods,WGO,1A,2022-2023,0.9853,"dealer, esg, consolidation, 2023, adverse",1. Boilerplate
Consumer Goods,WGO,1A,2023-2024,0.9843,"2025, notes, convertible, 2024, 2030",1. Boilerplate
Consumer Goods,WGO,1A,2024-2025,0.996,"increased, costs, mitigate, tariffs imposed, fiscal 2025",1. Boilerplate
Consumer Goods,WGO,1C,2024-2025,0.9961,"business development, officer investor, development member, investor relations, investor",1. Boilerplate
Consumer Goods,NKE,1A,2022-2023,0.9908,"2023, 2023 form, future, public, public health",1. Boilerplate
Consumer Goods,NKE,1A,2023-2024,0.9926,"2024, 2024 form, initiative, savings, cost savings",1. Boilerplate
Consumer Goods,NKE,1A,2024-2025,0.9916,"2025 form, 2025, responsibility sustainability, corporate responsibility, policies",1. Boilerplate
Consumer Goods,NKE,1C,2024-2025,0.9979,"quarterly basis, quarterly, program quarterly, 24, 2025 form",1. Boilerplate
Consumer Goods,MCFT,1A,2022-2023,0.9857,"reduce, shift, costs, public, share repurchase",1. Boilerplate
Consumer Goods,MCFT,1A,2023-2024,0.9884,"elevated, aviara, 2024, elevated rates, transaction",1. Boilerplate
Consumer Goods,MCFT,1A,2024-2025,0.9942,"redesigned, new redesigned, redesigned products, 2025, result",1. Boilerplate
Consumer Goods,MCFT,1C,2024-2025,1.0,"19 key, board audit, developing 19",1. Boilerplate
Consumer Goods,CROX,1A,2022-2023,0.9878,"tax, intelligence, artificial intelligence, artificial, 31 2023",1. Boilerplate
Consumer Goods,CROX,1A,2023-2024,0.9929,"crs, tariffs, 31 2024, 2024, mexico",1. Boilerplate
Consumer Goods,CROX,1A,2024-2025,0.9901,"2025, 31 2025, ended 2025, fiscal year, platform",1. Boilerplate
Consumer Goods,CROX,1C,2023-2024,0.9994,"table contents, table, contents item, contents",1. Boilerplate
Consumer Goods,CROX,1C,2024-2025,0.9859,"artificial intelligence, risk assessments, artificial, cybersecurity reference, reference",1. Boilerplate
Consumer Goods,ELF,1A,2022-2023,0.9934,"mocra, 2023, economic, privacy, operations",1. Boilerplate
Consumer Goods,ELF,1A,2023-2024,0.992,"naturium, ai, acquisition naturium, acquisition, related",1. Boilerplate
Consumer Goods,ELF,1A,2024-2025,0.9903,"rhode, tariffs, acquisition rhode, ai, 2025",1. Boilerplate
Consumer Goods,ELF,1C,2024-2025,0.947,"enterprise, ciso, leadership, infrastructure, cybersecurity leadership",2. Adaptive
Finance,V,1A,2022-2023,0.9833,"ai, crs, item report, laws, related",1. Boilerplate
Finance,V,1A,2023-2024,0.9858,"net revenue, revenue, net, ai, data",1. Boilerplate
Finance,V,1A,2024-2025,0.9616,"sellers, seller, shareholders, agentic, regulatory",2. Adaptive
Finance,V,1C,2024-2025,0.9946,"30 2025, 2025, parties, technology, assess risk",1. Boilerplate
Finance,LC,1A,2022-2023,0.9871,"marketplace investors, marketplace, student, student loan, resumption",1. Boilerplate
Finance,LC,1A,2023-2024,0.9917,"ai, changes, related uncertainties, use, 2025",1. Boilerplate
Finance,LC,1A,2024-2025,0.9934,"ai, value, fair value, fair, methodology",1. Boilerplate
Finance,LC,1C,2023-2024,0.9986,"corporation exercises, proprietary confidential, appropriate 2024, scanning 47, ciso holds",1. Boilerplate
Finance,LC,1C,2024-2025,0.9991,"appropriate 2025, 2025, 2025 did, 50, 50 lendingclub",1. Boilerplate
Finance,UPST,1A,2022-2023,0.9834,"marketplace, 2023, umi, facilitated marketplace, risk",1. Boilerplate
Finance,UPST,1A,2023-2024,0.9939,"2024, notes, state, ai, series",1. Boilerplate
Finance,UPST,1A,2024-2025,0.9396,"adversely, affect, adversely affect, condition results, affect business",2. Adaptive
Finance,UPST,1C,2023-2024,0.9954,"controls, responsibility, controls assessment, assessment incident, security engineering",1. Boilerplate
Finance,UPST,1C,2024-2025,0.9803,"data, network, engineering, risk, continuously",1. Boilerplate
Finance,PSEC,1A,2022-2023,0.9866,"preferred stock, preferred, stock 50, 50, 50 preferred",1. Boilerplate
Finance,PSEC,1A,2023-2024,0.9926,"rate preferred, preferred stock, preferred, rate, stock",1. Boilerplate
Finance,PSEC,1A,2024-2025,0.9828,"preferred stock, preferred, stock, 50, 50 preferred",1. Boilerplate
Finance,PSEC,1C,2024-2025,0.9967,"cybersecurity training, training platform, platform, platform supplementary, training staff",1. Boilerplate
Finance,HLI,1A,2022-2023,0.9876,"2023, 31 2023, fiscal 2023, financial, adversely",1. Boilerplate
Finance,HLI,1A,2023-2024,0.9948,"2024, fiscal 2024, 31 2024, 590 406, fiscal monetary",1. Boilerplate
Finance,HLI,1A,2024-2025,0.9931,"2025, ai, trade, 31 2025, information",1. Boilerplate
Finance,HLI,1C,2024-2025,0.9932,"audit, audit committee, officer executive, departments group, executive vp",1. Boilerplate
Semiconductors,CRUS,1A,2022-2023,0.9847,"related, risks, risks related, 2023, incentives",1. Boilerplate
Semiconductors,CRUS,1A,2023-2024,0.9958,"substances, use, ai, war, rules",1. Boilerplate
Semiconductors,CRUS,1A,2024-2025,0.9952,"2025, systems, geographic, diversity, geographic diversity",1. Boilerplate
Semiconductors,CRUS,1C,2024-2025,0.7905,"use, management strategy, cybersecurity risk, conduct, controls",3. Dynamic
Semiconductors,MXL,1A,2022-2023,0.9487,"legal proceedings, products, legal, proceedings, 2023",2. Adaptive
Semiconductors,MXL,1A,2023-2024,0.9914,"2024, 31 2024, china, certain, export",1. Boilerplate
Semiconductors,MXL,1A,2024-2025,0.9879,"2025, 31 2025, stock, tax, ai",1. Boilerplate
Semiconductors,MXL,1C,2023-2024,0.8913,"executives, executives management, management, infrastructure, incident",3. Dynamic
Semiconductors,MXL,1C,2024-2025,0.9978,"31 2025, 2025, 2025 2024, 2023 company",1. Boilerplate
Semiconductors,AMD,1A,2022-2023,0.9763,"ai, costs, climate, customers, corporate responsibility",2. Adaptive
Semiconductors,AMD,1A,2023-2024,0.9893,"ai, zt, zt systems, 2024, conditions",1. Boilerplate
Semiconductors,AMD,1A,2024-2025,0.9907,"china, impact, government, 2025, demand",1. Boilerplate
Semiconductors,AMD,1C,2023-2024,0.9591,"practices standards, practices, industry practices, ai rmf, rmf industry",2. Adaptive
Semiconductors,AMD,1C,2024-2025,0.9954,"cyber, ciso management, risks significant, cyber risks, contents item",1. Boilerplate
Semiconductors,NVEC,1A,2022-2023,0.0689,"products, business, customers, revenue, results",3. Dynamic
Semiconductors,NVEC,1A,2023-2024,0.0689,"item, item 1a, risk factors, 1a, 1a risk",3. Dynamic
Semiconductors,NVEC,1A,2024-2025,1.0,,1. Boilerplate
Semiconductors,POWI,1A,2022-2023,0.9806,"security, infrastructure, information, systems, breach",1. Boilerplate
Semiconductors,POWI,1A,2023-2024,0.9921,"product liability, product, liability, claims, claims product",1. Boilerplate
Semiconductors,POWI,1A,2024-2025,0.9183,"revenue, net revenue, tariffs, markets, export",2. Adaptive
Semiconductors,POWI,1C,2023-2024,0.9979,"limited creating, including years, breaches partnered, escalation cybersecurity, technology roles",1. Boilerplate
Semiconductors,POWI,1C,2024-2025,0.9769,"committee, cybersecurity committee, cybersecurity, charter, protection",2. Adaptive
Semiconductors,INTC,1A,2022-2023,0.9674,"risk, factors key, ai, 2023, december",2. Adaptive
Semiconductors,INTC,1A,2023-2024,0.9846,"2024, december 28, 28, 28 2024, intel",1. Boilerplate
Semiconductors,INTC,1A,2024-2025,0.9415,"executive, intel, intel 14a, president, 14a",2. Adaptive
