ticker,company_name,sector,year,has_1c,boilerplate_count,boilerplate_ratio,matched_phrases
PEP,PEPSICO INC,Consumer Goods,2024,True,9,0.000892,there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; could have a material adverse effect ; threat actors ; malicious actors ; applicable laws and regulations ; we devote significant resources
PEP,PEPSICO INC,Consumer Goods,2025,True,9,0.000869,there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; could have a material adverse effect ; threat actors ; malicious actors ; applicable laws and regulations ; we devote significant resources
WGO,WINNEBAGO INDUSTRIES INC,Consumer Goods,2022,False,9,0.001637,we cannot guarantee ; we may be subject to ; we may experience ; there can be no assurance ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient
WGO,WINNEBAGO INDUSTRIES INC,Consumer Goods,2023,False,9,0.001597,we cannot guarantee ; we may be subject to ; we may experience ; there can be no assurance ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient
WGO,WINNEBAGO INDUSTRIES INC,Consumer Goods,2024,True,9,0.001328,we cannot guarantee ; we may be subject to ; we may experience ; there can be no assurance ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient
WGO,WINNEBAGO INDUSTRIES INC,Consumer Goods,2025,True,9,0.001313,we cannot guarantee ; we may be subject to ; we may experience ; there can be no assurance ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient
CRWD,"CrowdStrike Holdings, Inc.",Cybersecurity,2022,False,10,0.000405,we cannot assure ; we may be subject to ; we may experience ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient ; applicable laws and regulations
CRWD,"CrowdStrike Holdings, Inc.",Cybersecurity,2023,False,10,0.000402,we cannot assure ; we may be subject to ; we may experience ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient ; applicable laws and regulations
CRWD,"CrowdStrike Holdings, Inc.",Cybersecurity,2024,True,12,0.000465,we cannot assure ; we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient ; threat actors ; evolving regulatory landscape
CRWD,"CrowdStrike Holdings, Inc.",Cybersecurity,2025,True,13,0.000475,we cannot guarantee ; we cannot assure ; we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient ; threat actors ; evolving regulatory landscape
PANW,Palo Alto Networks Inc,Cybersecurity,2022,False,11,0.0005,we cannot guarantee ; we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient ; applicable laws and regulations
PANW,Palo Alto Networks Inc,Cybersecurity,2023,False,10,0.000561,we cannot guarantee ; we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient
PANW,Palo Alto Networks Inc,Cybersecurity,2024,True,11,0.000549,we cannot guarantee ; we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient ; threat actors
PANW,Palo Alto Networks Inc,Cybersecurity,2025,True,11,0.000518,we cannot guarantee ; we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient ; threat actors
PRGS,PROGRESS SOFTWARE CORP /MA,Cybersecurity,2022,False,9,0.00104,we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient
PRGS,PROGRESS SOFTWARE CORP /MA,Cybersecurity,2023,True,11,0.00101,we cannot guarantee ; we may be subject to ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient ; threat actors ; unauthorized access to our systems
PRGS,PROGRESS SOFTWARE CORP /MA,Cybersecurity,2024,True,11,0.001041,we cannot guarantee ; we may be subject to ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient ; threat actors ; unauthorized access to our systems ; we devote significant resources
PRGS,PROGRESS SOFTWARE CORP /MA,Cybersecurity,2025,True,11,0.001034,we cannot guarantee ; we may be subject to ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient ; threat actors ; unauthorized access to our systems ; we devote significant resources
RPD,"Rapid7, Inc.",Cybersecurity,2022,False,12,0.000576,we cannot guarantee ; we cannot assure ; we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; threat actors ; applicable laws and regulations
RPD,"Rapid7, Inc.",Cybersecurity,2023,True,13,0.000563,we cannot guarantee ; we cannot assure ; we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; threat actors ; applicable laws and regulations ; evolving regulatory landscape
RPD,"Rapid7, Inc.",Cybersecurity,2024,True,13,0.000565,we cannot guarantee ; we cannot assure ; we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; threat actors ; applicable laws and regulations ; evolving regulatory landscape
RPD,"Rapid7, Inc.",Cybersecurity,2025,True,13,0.000555,we cannot guarantee ; we cannot assure ; we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; threat actors ; applicable laws and regulations ; evolving regulatory landscape
S,"SentinelOne, Inc.",Cybersecurity,2022,False,13,0.00046,we cannot guarantee ; we cannot assure ; we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient ; security measures in place ; applicable laws and regulations
S,"SentinelOne, Inc.",Cybersecurity,2023,False,13,0.000445,we cannot guarantee ; we cannot assure ; we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient ; security measures in place ; applicable laws and regulations
S,"SentinelOne, Inc.",Cybersecurity,2024,True,15,0.000473,we cannot guarantee ; we cannot assure ; we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient ; malicious actors ; security measures in place ; applicable laws and regulations ; evolving regulatory landscape
S,"SentinelOne, Inc.",Cybersecurity,2025,True,15,0.000492,we cannot guarantee ; we cannot assure ; we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient ; malicious actors ; security measures in place ; applicable laws and regulations ; evolving regulatory landscape
VRNS,VARONIS SYSTEMS INC,Cybersecurity,2022,False,11,0.000533,we cannot guarantee ; we cannot assure ; we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; applicable laws and regulations
VRNS,VARONIS SYSTEMS INC,Cybersecurity,2023,True,13,0.000598,we cannot guarantee ; we cannot assure ; we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; unauthorized access to our systems ; applicable laws and regulations ; evolving regulatory landscape
VRNS,VARONIS SYSTEMS INC,Cybersecurity,2024,True,13,0.00062,we cannot guarantee ; we cannot assure ; we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; unauthorized access to our systems ; applicable laws and regulations ; evolving regulatory landscape
VRNS,VARONIS SYSTEMS INC,Cybersecurity,2025,True,12,0.000576,we cannot guarantee ; we cannot assure ; we may be subject to ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; unauthorized access to our systems ; applicable laws and regulations ; evolving regulatory landscape
HLI,"HOULIHAN LOKEY, INC.",Finance,2022,False,8,0.000798,we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect
HLI,"HOULIHAN LOKEY, INC.",Finance,2023,False,8,0.000812,we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect
HLI,"HOULIHAN LOKEY, INC.",Finance,2024,True,9,0.000875,we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; evolving threat landscape
HLI,"HOULIHAN LOKEY, INC.",Finance,2025,True,8,0.000766,we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; evolving threat landscape
LC,LendingClub Corp,Finance,2022,False,10,0.000511,we cannot assure ; we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; applicable laws and regulations
LC,LendingClub Corp,Finance,2023,True,10,0.00048,we cannot assure ; we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; applicable laws and regulations
LC,LendingClub Corp,Finance,2024,True,11,0.000521,we cannot guarantee ; we cannot assure ; we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; applicable laws and regulations
LC,LendingClub Corp,Finance,2025,True,11,0.000486,we cannot guarantee ; we cannot assure ; we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; applicable laws and regulations
PSEC,PROSPECT CAPITAL CORP,Finance,2022,False,9,0.000213,we cannot assure ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient
PSEC,PROSPECT CAPITAL CORP,Finance,2023,False,9,0.00022,we cannot assure ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient
PSEC,PROSPECT CAPITAL CORP,Finance,2024,True,10,0.000244,we cannot assure ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient ; applicable laws and regulations
PSEC,PROSPECT CAPITAL CORP,Finance,2025,True,10,0.000267,we cannot assure ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient ; applicable laws and regulations
UPST,"Upstart Holdings, Inc.",Finance,2022,False,12,0.000273,we cannot guarantee ; we cannot assure ; we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; evolving threat landscape ; applicable laws and regulations
UPST,"Upstart Holdings, Inc.",Finance,2023,True,13,0.000292,we cannot guarantee ; we cannot assure ; we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; evolving threat landscape ; threat actors ; applicable laws and regulations
UPST,"Upstart Holdings, Inc.",Finance,2024,True,11,0.00024,we cannot guarantee ; we cannot assure ; we may be subject to ; there can be no assurance ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; evolving threat landscape ; threat actors ; applicable laws and regulations
UPST,"Upstart Holdings, Inc.",Finance,2025,True,11,0.000536,we cannot guarantee ; we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient ; threat actors
V,VISA INC.,Finance,2022,False,4,0.000405,we cannot guarantee ; we may be subject to ; there can be no assurance ; could adversely affect
V,VISA INC.,Finance,2023,False,6,0.000546,we cannot guarantee ; we may be subject to ; we may experience ; there can be no assurance ; from time to time ; could adversely affect
V,VISA INC.,Finance,2024,True,8,0.000613,we cannot guarantee ; we may be subject to ; we may experience ; there can be no assurance ; from time to time ; could adversely affect ; may not be sufficient ; threat actors
V,VISA INC.,Finance,2025,True,8,0.000599,we cannot guarantee ; we may be subject to ; we may experience ; there can be no assurance ; from time to time ; could adversely affect ; may not be sufficient ; threat actors
ELMD,"Electromed, Inc.",Healthcare,2022,False,0,0.0,
ELMD,"Electromed, Inc.",Healthcare,2023,False,0,0.0,
ELMD,"Electromed, Inc.",Healthcare,2024,True,1,0.001795,there can be no assurance
ELMD,"Electromed, Inc.",Healthcare,2025,True,1,0.001751,there can be no assurance
JNJ,JOHNSON & JOHNSON,Healthcare,2022,False,7,0.001175,we cannot guarantee ; we may experience ; there can be no assurance ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient
JNJ,JOHNSON & JOHNSON,Healthcare,2023,True,7,0.001053,we cannot guarantee ; we may experience ; there can be no assurance ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient
JNJ,JOHNSON & JOHNSON,Healthcare,2024,True,7,0.001077,we cannot guarantee ; we may experience ; there can be no assurance ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient
JNJ,JOHNSON & JOHNSON,Healthcare,2025,True,7,0.001026,we cannot guarantee ; we may experience ; there can be no assurance ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient
LLY,ELI LILLY & Co,Healthcare,2022,False,7,0.000985,there can be no assurance ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient ; malicious actors
LLY,ELI LILLY & Co,Healthcare,2023,True,9,0.000934,we cannot assure ; there can be no assurance ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient ; malicious actors ; subject to various laws and regulations
LLY,ELI LILLY & Co,Healthcare,2024,True,8,0.000762,there can be no assurance ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient ; malicious actors ; subject to various laws and regulations
LLY,ELI LILLY & Co,Healthcare,2025,True,8,0.00068,there can be no assurance ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient ; malicious actors ; subject to various laws and regulations
MODD,"Modular Medical, Inc.",Healthcare,2022,False,7,0.000685,we cannot assure ; we may be subject to ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect
MODD,"Modular Medical, Inc.",Healthcare,2023,False,9,0.000818,we cannot guarantee ; we cannot assure ; we may be subject to ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect
MODD,"Modular Medical, Inc.",Healthcare,2024,True,9,0.000716,we cannot guarantee ; we cannot assure ; we may be subject to ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect
MODD,"Modular Medical, Inc.",Healthcare,2025,True,9,0.000611,we cannot guarantee ; we cannot assure ; we may be subject to ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect
MOH,"MOLINA HEALTHCARE, INC.",Healthcare,2022,False,6,0.000571,there can be no assurance ; from time to time ; could adversely affect ; could have a material adverse effect ; may not be sufficient ; we have implemented controls
MOH,"MOLINA HEALTHCARE, INC.",Healthcare,2023,True,10,0.000783,we may be subject to ; we may experience ; there can be no assurance ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient ; we have implemented controls ; applicable laws and regulations
MOH,"MOLINA HEALTHCARE, INC.",Healthcare,2024,True,9,0.000676,we may be subject to ; we may experience ; there can be no assurance ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient ; applicable laws and regulations
MOH,"MOLINA HEALTHCARE, INC.",Healthcare,2025,True,11,0.000722,we cannot guarantee ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient ; threat actors ; applicable laws and regulations
VKTX,"Viking Therapeutics, Inc.",Healthcare,2022,False,11,0.000384,we cannot assure ; we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient ; applicable laws and regulations
VKTX,"Viking Therapeutics, Inc.",Healthcare,2023,True,11,0.00038,we cannot assure ; we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient ; applicable laws and regulations
VKTX,"Viking Therapeutics, Inc.",Healthcare,2024,True,11,0.000361,we cannot assure ; we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient ; applicable laws and regulations
VKTX,"Viking Therapeutics, Inc.",Healthcare,2025,True,11,0.000327,we cannot assure ; we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient ; applicable laws and regulations
AMZN,AMAZON COM INC,Retail & E-Commerce,2022,False,6,0.000742,we may experience ; there can be no assurance ; from time to time ; could adversely affect ; may adversely affect ; may not be sufficient
AMZN,AMAZON COM INC,Retail & E-Commerce,2023,True,6,0.000658,we may experience ; there can be no assurance ; from time to time ; could adversely affect ; may adversely affect ; may not be sufficient
AMZN,AMAZON COM INC,Retail & E-Commerce,2024,True,6,0.000654,we may experience ; there can be no assurance ; from time to time ; could adversely affect ; may adversely affect ; may not be sufficient
AMZN,AMAZON COM INC,Retail & E-Commerce,2025,True,6,0.000642,we may experience ; there can be no assurance ; from time to time ; could adversely affect ; may adversely affect ; may not be sufficient
BOOT,"Boot Barn Holdings, Inc.",Retail & E-Commerce,2022,False,9,0.000574,we cannot guarantee ; we cannot assure ; we may be subject to ; there can be no assurance ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; applicable laws and regulations
BOOT,"Boot Barn Holdings, Inc.",Retail & E-Commerce,2023,False,9,0.000612,we cannot guarantee ; we cannot assure ; we may be subject to ; there can be no assurance ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; applicable laws and regulations
BOOT,"Boot Barn Holdings, Inc.",Retail & E-Commerce,2024,True,11,0.00072,we cannot guarantee ; we cannot assure ; we may be subject to ; there can be no assurance ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient ; malicious actors ; applicable laws and regulations
BOOT,"Boot Barn Holdings, Inc.",Retail & E-Commerce,2025,True,11,0.00068,we cannot guarantee ; we cannot assure ; we may be subject to ; there can be no assurance ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient ; malicious actors ; applicable laws and regulations
ETSY,ETSY INC,Retail & E-Commerce,2022,False,10,0.000373,we cannot guarantee ; we cannot assure ; we may be subject to ; we may experience ; there can be no assurance ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient
ETSY,ETSY INC,Retail & E-Commerce,2023,True,11,0.000409,we cannot guarantee ; we cannot assure ; we may be subject to ; we may experience ; there can be no assurance ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient ; applicable laws and regulations
ETSY,ETSY INC,Retail & E-Commerce,2024,True,11,0.000455,we cannot guarantee ; we cannot assure ; we may be subject to ; we may experience ; there can be no assurance ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient ; applicable laws and regulations
ETSY,ETSY INC,Retail & E-Commerce,2025,True,10,0.000428,we cannot guarantee ; we cannot assure ; we may be subject to ; we may experience ; there can be no assurance ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient
SFIX,"Stitch Fix, Inc.",Retail & E-Commerce,2022,False,10,0.000534,we cannot guarantee ; we cannot assure ; we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; could adversely affect ; may adversely affect ; could have a material adverse effect ; applicable laws and regulations
SFIX,"Stitch Fix, Inc.",Retail & E-Commerce,2023,False,10,0.000548,we cannot guarantee ; we cannot assure ; we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; could adversely affect ; may adversely affect ; could have a material adverse effect ; applicable laws and regulations
SFIX,"Stitch Fix, Inc.",Retail & E-Commerce,2024,True,11,0.000632,we cannot guarantee ; we cannot assure ; we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; could adversely affect ; may adversely affect ; could have a material adverse effect ; malicious actors ; applicable laws and regulations
SFIX,"Stitch Fix, Inc.",Retail & E-Commerce,2025,True,13,0.000699,we cannot guarantee ; we cannot assure ; we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; threat actors ; malicious actors ; applicable laws and regulations
UPWK,"UPWORK, INC",Retail & E-Commerce,2022,False,12,0.000417,we cannot guarantee ; we cannot assure ; we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient ; applicable laws and regulations
UPWK,"UPWORK, INC",Retail & E-Commerce,2023,True,13,0.000546,we cannot guarantee ; we cannot assure ; we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient ; evolving threat landscape ; applicable laws and regulations
UPWK,"UPWORK, INC",Retail & E-Commerce,2024,True,13,0.000701,we cannot guarantee ; we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient ; evolving threat landscape ; applicable laws and regulations ; we devote significant resources
UPWK,"UPWORK, INC",Retail & E-Commerce,2025,True,14,0.000733,we cannot guarantee ; we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient ; evolving threat landscape ; we have implemented controls ; applicable laws and regulations ; we devote significant resources
